DOY,Date,Rain,Radiation,Tmean,RelHum
1,1996-01-01,0,2.18,1.45,86.64791667
2,1996-01-02,0,2.208,0.6,83.89583333
3,1996-01-03,0,0.824,0.2,88.93645833
4,1996-01-04,0,3.983,-0.2,72.01770833
5,1996-01-05,0,4.202,-2.2,63.253125
6,1996-01-06,0,1.342,-3.6,67.42916667
7,1996-01-07,0,1.268,1.7,82.21458333
8,1996-01-08,0,1.822,2.5,90.5875
9,1996-01-09,1.6,0.881,4.55,76.76875
10,1996-01-10,1.5,1.007,3.55,85.10833333
11,1996-01-11,0,2.383,3.9,78.72395833
12,1996-01-12,0,1.475,6.95,75.40625
13,1996-01-13,0,3.992,6.25,82.38541667
14,1996-01-14,0,3.803,2.35,88.84270833
15,1996-01-15,0,3.247,2.1,85.92083333
16,1996-01-16,0,3.233,1.85,88.14791667
17,1996-01-17,0,2.337,0,87.271875
18,1996-01-18,0,4.22,-0.75,83.984375
19,1996-01-19,0,2.447,-1.4,82.53333333
20,1996-01-20,0,1.169,-1.2,69.059375
21,1996-01-21,0,3.008,-0.5,63.07604167
22,1996-01-22,0,4.659,-0.05,61.14166667
23,1996-01-23,0,3.568,-2.5,62.40833333
24,1996-01-24,0,3.767,-1.1,58.80729167
25,1996-01-25,0,1.499,-5.1,53.43958333
26,1996-01-26,0,1.644,-7.25,75.959375
27,1996-01-27,0.6,2.404,-3.35,74.47395833
28,1996-01-28,0,3.453,-3.45,69.74375
29,1996-01-29,0,3.831,-1.1,69.47395833
30,1996-01-30,0,6.255,-2.35,64.26354167
31,1996-01-31,0,7.273,-2,55.20833333
32,1996-02-01,0,6.742,-4.5,60.39375
33,1996-02-02,2.9,1.193,-3.85,80.15
34,1996-02-03,0.1,3.096,-1.3,84.4625
35,1996-02-04,0,3.798,-2.9,74.75833333
36,1996-02-05,0,5.045,-3.45,81.01979167
37,1996-02-06,0,7.854,-4,67.30833333
38,1996-02-07,0,4.403,-5.45,59.88645833
39,1996-02-08,0,4.662,-3.8,63.159375
40,1996-02-09,0,5.235,-0.9,74.55104167
41,1996-02-10,0,5.849,2.55,70.62604167
42,1996-02-11,0.2,4.013,3.3,76.875
43,1996-02-12,0.8,1.152,3,76.50833333
44,1996-02-13,1,0.944,1.05,91.05208333
45,1996-02-14,0,1.071,0.7,76.67395833
46,1996-02-15,1,3.558,-0.25,78.74375
47,1996-02-16,2.4,1.082,3.55,86.08229167
48,1996-02-17,0.3,3.875,4.4,68.16875
49,1996-02-18,7.9,2.441,4.1,77.3125
50,1996-02-19,2.6,3.405,3.15,84.91354167
51,1996-02-20,0,2.043,-0.4,80.53229167
52,1996-02-21,0,4.461,-4.45,73.034375
53,1996-02-22,0,7.241,-3.4,72.41979167
54,1996-02-23,0.1,9.252,-3.7,71.80416667
55,1996-02-24,0,4.109,0.5,72.31354167
56,1996-02-25,0,3.621,7.1,59.13645833
57,1996-02-26,2.4,8.771,8.5,62.39583333
58,1996-02-27,0.5,4.524,5.6,89.87604167
59,1996-02-28,0,3.803,5.4,83.95
60,1996-02-29,0,2.57,1.2,89.93958333
61,1996-03-01,0,2.135,1.6,78.27708333
62,1996-03-02,0,8.176,-0.05,76.56041667
