projectid;CURRENT.DATE;simulationid;Evaporation;Transpiration;CropAvailWater;EvapoTranspiration;WaterStress;MobileWater_1;MobileWater_2;MobileWater_3;MobileWater_4;MobileWater_5;MobileWater_6;MobileWater_7;MobileWater_8;MobileWater_9;MobileWater_10;MobileWater_11;MobileWater_12;MobileWater_13;MobileWater_14;MobileWater_15;MobileWater_16;MobileWater_17;MobileWater_18;MobileWater_19;MobileWater_20;MobileWater_21;MobileWater_22;MobileWater_23;MobileWater_24;MobileWater_25;MobileWater_26;MobileWater_27;MobileWater_28;MobileWater_29;MobileWater_30;MobileWater_31;MobileWater_32;MobileWater_33;MobileWater_34;MobileWater_35;MobileWater_36;MobileWater_37;MobileWater_38;MobileWater_39;MobileWater_40;RetainedWater_1;RetainedWater_2;RetainedWater_3;RetainedWater_4;RetainedWater_5;RetainedWater_6;RetainedWater_7;RetainedWater_8;RetainedWater_9;RetainedWater_10;RetainedWater_11;RetainedWater_12;RetainedWater_13;RetainedWater_14;RetainedWater_15;RetainedWater_16;RetainedWater_17;RetainedWater_18;RetainedWater_19;RetainedWater_20;RetainedWater_21;RetainedWater_22;RetainedWater_23;RetainedWater_24;RetainedWater_25;RetainedWater_26;RetainedWater_27;RetainedWater_28;RetainedWater_29;RetainedWater_30;RetainedWater_31;RetainedWater_32;RetainedWater_33;RetainedWater_34;RetainedWater_35;RetainedWater_36;RetainedWater_37;RetainedWater_38;RetainedWater_39;RetainedWater_40
testproject;18.07.1991;testproject_00__TESTSIMULATION;3.159;0;0;3.159;0;0;0.521468075;1.197492025;1.475921631;1.567005336;1.542980091;1.385396429;1.14546645;0.889056152;0.654988751;0.456708787;0.29304246;0.164849467;0.081861146;0.036250705;0.013779742;0.004549839;0.001037348;1.92E-04;2.82E-05;3.26E-05;4.48E-05;4.26E-05;3.91E-05;2.72E-05;1.53E-05;9.06E-06;1.23E-05;1.30E-06;9.27E-07;1.32E-05;5.69E-05;1.81E-04;4.82E-04;0.001130521;0.002397264;0.004678155;0.008511892;0.014584687;0.023718176;3.402229636;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;19.07.1991;testproject_00__TESTSIMULATION;3.11769;0;0;3.11769;0;0;0;0;0.663741373;1.11724363;1.357380171;1.448730802;1.404098305;1.255707072;1.051584418;0.83348257;0.627501558;0.445503814;0.294011873;0.180352565;0.103575659;0.055971343;0.028799447;0.014182102;0.006829291;0.003258959;0.00156572;7.67E-04;3.87E-04;2.04E-04;1.10E-04;6.02E-05;3.35E-05;2.18E-05;1.10E-05;6.34E-06;1.21E-05;4.18E-05;1.30E-04;3.47E-04;8.22E-04;0.001762935;0.003485113;0.006427811;0.011166845;2.045055215;4.271449549;5.305209492;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;20.07.1991;testproject_00__TESTSIMULATION;0.763714286;0;0;0.763714286;0;0;0;0;0;0.35271218;0.770599239;1.084772258;1.274149516;1.335135267;1.28329189;1.150761854;0.973898554;0.782942776;0.598213594;0.432825023;0.29643824;0.1928052;0.119608846;0.071203049;0.040899413;0.022834083;0.012472481;0.006706503;0.003569312;0.001889219;1.00E-03;5.30E-04;2.82E-04;1.51E-04;8.26E-05;4.48E-05;2.49E-05;1.97E-05;3.57E-05;9.60E-05;2.52E-04;5.98E-04;0.001295685;0.002592269;0.004842881;1.584984799;4.396188179;5.04187562;5.320207354;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;21.07.1991;testproject_00__TESTSIMULATION;3.078;0;0;3.078;0;0;0;0;0;0;0.052418775;0.154167863;0.363039749;0.618656522;0.859899804;1.042386668;1.142888729;1.158413165;1.101049134;0.990778283;0.849087351;0.695307594;0.545308028;0.41052495;0.297434717;0.208003285;0.140838142;0.092626643;0.059360291;0.03718081;0.022826167;0.013770999;0.008183717;0.004800864;0.002785402;0.001601045;9.13E-04;5.18E-04;2.92E-04;1.67E-04;1.06E-04;9.83E-05;1.58E-04;3.31E-04;7.06E-04;2.906192016;5.398598675;5.098587003;5.304911376;5.391407407;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;22.07.1991;testproject_00__TESTSIMULATION;1.458467143;0;0;1.458467143;0;0;0;0;0;0;0;0.028323965;0.105563401;0.253769211;0.457483013;0.677905631;0.874293393;1.016085639;1.087940581;1.089309438;1.030496176;0.927567597;0.798131138;0.658659858;0.522734522;0.399980553;0.29583423;0.212050709;0.147689757;0.100207813;0.066400905;0.043071409;0.02740933;0.017146741;0.010564382;0.0064212;0.003856235;0.002291454;0.001349024;7.88E-04;4.59E-04;2.74E-04;1.85E-04;1.79E-04;2.77E-04;3.527851505;4.602465767;5.028589735;5.25373602;5.353106254;5.386519936;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;23.07.1991;testproject_00__TESTSIMULATION;0.981815224;0;0;0.981815224;0;0;0;0;0;0;0;0;0.015752133;0.070794203;0.177206878;0.335429669;0.525068401;0.715507817;0.876906216;0.987768488;1.038137094;1.028979264;0.969266357;0.872446816;0.753412401;0.626168817;0.502212663;0.38967481;0.29320411;0.214434977;0.152775371;0.106262301;0.072303979;0.048221159;0.031577971;0.020338678;0.012903754;0.008075567;0.004991786;0.003051289;0.001846661;0.001108946;6.66E-04;4.13E-04;2.95E-04;2.881977136;4.460360951;4.951952838;5.202341151;5.321005879;5.369016686;5.390778054;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;24.07.1991;testproject_00__TESTSIMULATION;0.751088647;0;0;0.751088647;0;0;0;0;0;0;0;0;0;0.009063946;0.047099989;0.123422662;0.244244472;0.401211433;0.574291222;0.738708672;0.871984009;0.958756639;0.992637949;0.97552691;0.915458148;0.824021954;0.71395125;0.597161599;0.4834075;0.379612263;0.289811208;0.21554174;0.156472119;0.111079704;0.077246808;0.052708704;0.035342694;0.023320841;0.015162883;0.009726032;0.006161561;0.003859353;0.002393236;0.00147373;9.11E-04;2.447405577;4.335400347;4.878625454;5.154227575;5.290459175;5.350352179;5.380217615;5.39399531;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;25.07.1991;testproject_00__TESTSIMULATION;2.025;0;0;2.025;0;0;0.259120129;0.947212001;1.093984724;0.814808586;0.526381525;0.319619099;0.187163168;0.106570009;0.059169478;0.033135759;0.019537896;0.013903537;0.01712872;0.03342859;0.068449871;0.126882938;0.210126052;0.314895835;0.433289515;0.554186843;0.665424513;0.756036811;0.817993585;0.847139849;0.843308548;0.809762957;0.752216033;0.677688686;0.593431044;0.506062222;0.421005389;0.342223479;0.272208933;0.212153119;0.16221575;0.121825357;0.089960902;0.065385326;0.04681954;4.11315198;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;26.07.1991;testproject_00__TESTSIMULATION;3.159;0;0;3.159;0;0;0;0.274442843;0.486763095;0.662764785;0.803269191;0.822790898;0.734683534;0.593528159;0.445510391;0.316252465;0.214892454;0.141231742;0.090796285;0.058425149;0.040641601;0.036538236;0.047537821;0.076313178;0.125222264;0.194758082;0.282515288;0.382983394;0.488184851;0.58891833;0.676232924;0.742764071;0.783666586;0.797024363;0.783750904;0.747091377;0.691886359;0.623763152;0.548393613;0.470911851;0.395534903;0.32538553;0.262485226;0.207869307;0.161772893;3.337555655;4.876038981;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
testproject;27.07.1991;testproject_00__TESTSIMULATION;2.746536429;0;0;2.746536429;0;0;0;0;0.052116372;0.307911617;0.505581406;0.664336006;0.743631882;0.732052172;0.651986587;0.53714443;0.416115269;0.306792701;0.217352264;0.149292106;0.100697875;0.068963193;0.052490085;0.051328919;0.066891111;0.100991758;0.154606938;0.226782227;0.314047913;0.410506479;0.508538431;0.599904597;0.676950947;0.733644546;0.766255277;0.773607505;0.756926287;0.719374164;0.665409906;0.600102264;0.52850845;0.455189869;0.383897576;0.317425296;0.257603581;1.535021027;4.437245164;5.067895249;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4
